date,clicks,impressions,position
2026-07-17,0,12,
2026-07-18,0,11,
2026-07-19,0,2,
2026-07-20,1,2,
2026-07-21,0,1,
2026-07-22,0,0,
2026-07-23,0,3,7.3
2026-07-24,0,4,35.5
2026-07-25,0,4,23.8
2026-07-26,1,6,2.8
2026-07-27,0,5,48.0
2026-07-28,0,13,35.1
2026-07-29,0,21,21.9
2026-07-30,0,35,36.6
2026-07-31,1,18,19.9
2026-08-01,1,24,31.7
2026-08-02,0,23,13.1
2026-08-03,1,22,20.1
2026-08-04,1,11,5.6
2026-08-05,2,35,10.5
2026-08-06,3,23,16.1
2026-08-07,0,2,5.5
2026-08-08,0,2,97.0
2026-08-09,2,28,19.9
2026-08-10,0,47,17.8
2026-08-11,0,42,11.7
2026-08-12,0,26,11.7
2026-08-13,1,51,20.1
2026-08-14,2,41,7.2
2026-08-15,1,31,14.1
2026-08-16,1,43,19.8
2026-08-17,0,40,10.1
2026-08-18,1,41,11.4
2026-08-19,0,34,11.4
2026-08-20,2,48,8.9
2026-08-21,0,21,9.2
2026-08-22,2,39,6.3
2026-08-23,2,41,8.8
2026-08-24,0,15,13.3
2026-08-25,0,3,3.3
2026-08-26,1,6,18.5
2026-08-27,0,34,23.0
2026-08-28,0,28,7.4
2026-08-29,2,28,9.4
