date,query,clicks,impressions,position
2026-07-27|城跡 一覧,城跡 一覧,0,2,
2026-07-27|城道,城道,0,2,
2026-07-27|日本のお城,日本のお城,0,1,
2026-07-27|福岡城 スタンプ設置場所,福岡城 スタンプ設置場所,0,1,
2026-07-28|お 城 ランキング 100,お 城 ランキング 100,0,1,
2026-07-28|日本のお城,日本のお城,0,1,
2026-07-28|福岡城 スタンプ設置場所,福岡城 スタンプ設置場所,0,1,
2026-07-29|お 城 ランキング 100,お 城 ランキング 100,0,1,
2026-07-29|日本のお城,日本のお城,0,1,
2026-07-30|100 名城,100 名城,0,1,
2026-07-30|お 城 ランキング 100,お 城 ランキング 100,0,1,
2026-07-30|日本のお城,日本のお城,0,1,
2026-07-30|現存 城,現存 城,0,1,
2026-07-31|100 名城,100 名城,0,1,
2026-07-31|お 城 ランキング 100,お 城 ランキング 100,0,1,
2026-07-31|古城 どこの城,古城 どこの城,0,1,
2026-07-31|国宝 の城 一覧,国宝 の城 一覧,0,1,
2026-07-31|国宝の城 一覧,国宝の城 一覧,0,2,
2026-07-31|城跡一覧,城跡一覧,0,2,
2026-07-31|日本のお城,日本のお城,0,1,
2026-07-31|現存 城,現存 城,0,1,
2026-08-01|100 名城,100 名城,0,1,
2026-08-01|100名城,100名城,0,1,
2026-08-01|100名城マップ,100名城マップ,0,1,
2026-08-01|お 城 ランキング 100,お 城 ランキング 100,0,1,
2026-08-01|古城 どこの城,古城 どこの城,0,1,
2026-08-01|国宝 の城 一覧,国宝 の城 一覧,0,1,
2026-08-01|国宝の城 一覧,国宝の城 一覧,0,2,
2026-08-01|城跡一覧,城跡一覧,0,2,
2026-08-01|日本のお城,日本のお城,0,1,
2026-08-01|現存 城,現存 城,0,1,
2026-08-02|100 名城,100 名城,0,1,91.0
2026-08-02|100名城,100名城,0,1,46.0
2026-08-02|100名城マップ,100名城マップ,0,1,115.0
2026-08-02|shirodo,shirodo,0,1,2.0
